,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
366,aclu/elections-api/congress_legislator:836,,Leonard Lance,Republican,7,NJ,rep,7,3407
367,aclu/elections-api/congress_legislator:828,,Bonnie Watson Coleman,Democrat,12,NJ,rep,12,3412
368,aclu/elections-api/congress_legislator:831,Donald Norcross,Donald Norcross,Democrat,1,NJ,rep,1,3401
369,aclu/elections-api/congress_legislator:11565,,Jefferson Van Drew,Republican,2,NJ,rep,2,3402
370,aclu/elections-api/congress_legislator:755,Chellie Pingree,Chellie Pingree,Democrat,1,ME,rep,1,2301
371,aclu/elections-api/congress_legislator:754,,Bruce Poliquin,Republican,2,ME,rep,2,2302
372,aclu/elections-api/congress_legislator:11550,,Jared F. Golden,Democrat,2,ME,rep,2,2302
373,aclu/elections-api/congress_legislator:791,,Gregorio Kilili Camacho Sablan,Democrat,0,MP,rep,0,6900
374,aclu/elections-api/congress_legislator:532,Steve Womack,Steve Womack,Republican,3,AR,rep,3,503
375,aclu/elections-api/congress_legislator:530,,J. French Hill,Republican,2,AR,rep,2,502
376,aclu/elections-api/congress_legislator:529,Rick Crawford,"Eric A. ""Rick"" Crawford",Republican,1,AR,rep,1,501
377,aclu/elections-api/congress_legislator:528,,Bruce Westerman,Republican,4,AR,rep,4,504
378,aclu/elections-api/congress_legislator:847,Dina Titus,Dina Titus,Democrat,1,NV,rep,1,3201
379,aclu/elections-api/congress_legislator:850,,Ruben J. Kihuen,Democrat,4,NV,rep,4,3204
380,aclu/elections-api/congress_legislator:11571,,Susie Lee,Democrat,3,NV,rep,3,3203
381,aclu/elections-api/congress_legislator:849,Mark Amodei,Mark E. Amodei,Republican,2,NV,rep,2,3202
382,aclu/elections-api/congress_legislator:11570,Steven Horsford,Steven Horsford,Democrat,4,NV,rep,4,3204
383,aclu/elections-api/congress_legislator:616,,Eleanor Holmes Norton,Democrat,0,DC,rep,0,1100
384,aclu/elections-api/congress_legislator:743,,Andy Harris,Republican,1,MD,rep,1,2401
385,aclu/elections-api/congress_legislator:750,John Delaney,John K. Delaney,Democrat,6,MD,rep,6,2406
