aclu_id,official_name,party,district,state,legislator_type,congressional_district
aclu/elections-api/congress_legislator:988,Ted Poe,Republican,2,TX,rep,4802
aclu/elections-api/congress_legislator:975,Lloyd Doggett,Democrat,35,TX,rep,4835
aclu/elections-api/congress_legislator:11599,Sylvia R. Garcia,Democrat,29,TX,rep,4829
aclu/elections-api/congress_legislator:963,Joaquin Castro,Democrat,20,TX,rep,4820
aclu/elections-api/congress_legislator:966,John R. Carter,Republican,31,TX,rep,4831
aclu/elections-api/congress_legislator:11679,Ronny Jackson,Republican,13,TX,rep,4813
aclu/elections-api/congress_legislator:11601,Veronica Escobar,Democrat,16,TX,rep,4816
aclu/elections-api/congress_legislator:956,Bill Flores,Republican,17,TX,rep,4817
aclu/elections-api/congress_legislator:973,Kevin Brady,Republican,8,TX,rep,4808
aclu/elections-api/congress_legislator:954,Al Green,Democrat,9,TX,rep,4809
aclu/elections-api/congress_legislator:11598,Ron Wright,Republican,6,TX,rep,4806
aclu/elections-api/congress_legislator:11676,Beth Van Duyne,Republican,24,TX,rep,4824
aclu/elections-api/congress_legislator:11595,Dan Crenshaw,Republican,2,TX,rep,4802
aclu/elections-api/congress_legislator:986,Sheila Jackson Lee,Democrat,18,TX,rep,4818
aclu/elections-api/congress_legislator:965,Joe Barton,Republican,6,TX,rep,4806
aclu/elections-api/congress_legislator:11675,August Pfluger,Republican,11,TX,rep,4811
aclu/elections-api/congress_legislator:964,Jodey C. Arrington,Republican,19,TX,rep,4819
aclu/elections-api/congress_legislator:955,Beto O’Rourke,Democrat,16,TX,rep,4816
aclu/elections-api/congress_legislator:11677,Tony Gonzales,Republican,23,TX,rep,4823
aclu/elections-api/congress_legislator:974,Lamar Smith,Republican,21,TX,rep,4821
aclu/elections-api/congress_legislator:11597,Lizzie Fletcher,Democrat,7,TX,rep,4807
aclu/elections-api/congress_legislator:958,Eddie Bernice Johnson,Democrat,30,TX,rep,4830
aclu/elections-api/congress_legislator:959,Filemon Vela,Democrat,34,TX,rep,4834
aclu/elections-api/congress_legislator:978,Marc A. Veasey,Democrat,33,TX,rep,4833
aclu/elections-api/congress_legislator:968,John Abney Culberson,Republican,7,TX,rep,4807
aclu/elections-api/congress_legislator:979,Michael C. Burgess,Republican,26,TX,rep,4826
aclu/elections-api/congress_legislator:982,Pete Sessions,Republican,17,TX,rep,4817
aclu/elections-api/congress_legislator:989,Vicente Gonzalez,Democrat,15,TX,rep,4815
aclu/elections-api/congress_legislator:976,Louie Gohmert,Republican,1,TX,rep,4801
aclu/elections-api/congress_legislator:11593,Chip Roy,Republican,21,TX,rep,4821
aclu/elections-api/congress_legislator:11594,Colin Z. Allred,Democrat,32,TX,rep,4832
aclu/elections-api/congress_legislator:990,Will Hurd,Republican,23,TX,rep,4823
aclu/elections-api/congress_legislator:960,Gene Green,Democrat,29,TX,rep,4829
aclu/elections-api/congress_legislator:985,Sam Johnson,Republican,3,TX,rep,4803
aclu/elections-api/congress_legislator:11678,Pat Fallon,Republican,4,TX,rep,4804
aclu/elections-api/congress_legislator:977,Mac Thornberry,Republican,13,TX,rep,4813
aclu/elections-api/congress_legislator:926,Jenniffer González-Colón,Republican,0,PR,rep,7200
aclu/elections-api/congress_legislator:11586,Susan Wild,Democrat,7,PA,rep,4207
aclu/elections-api/congress_legislator:11580,Chrissy Houlahan,Democrat,6,PA,rep,4206
aclu/elections-api/congress_legislator:918,Michael F. Doyle,Democrat,18,PA,rep,4218
aclu/elections-api/congress_legislator:11615,Fred Keller,Republican,12,PA,rep,4212
aclu/elections-api/congress_legislator:916,Lou Barletta,Republican,11,PA,rep,4211
aclu/elections-api/congress_legislator:909,Bill Shuster,Republican,9,PA,rep,4209
aclu/elections-api/congress_legislator:11581,Daniel Meuser,Republican,9,PA,rep,4209
aclu/elections-api/congress_legislator:1048,Conor Lamb,Democrat,17,PA,rep,4217
aclu/elections-api/congress_legislator:915,Lloyd Smucker,Republican,11,PA,rep,4211
aclu/elections-api/congress_legislator:11583,John Joyce,Republican,13,PA,rep,4213
aclu/elections-api/congress_legislator:911,Brian K. Fitzpatrick,Republican,1,PA,rep,4201
aclu/elections-api/congress_legislator:923,Ryan A. Costello,Republican,6,PA,rep,4206
aclu/elections-api/congress_legislator:914,Keith J. Rothfus,Republican,12,PA,rep,4212
aclu/elections-api/congress_legislator:913,Glenn Thompson,Republican,15,PA,rep,4215
aclu/elections-api/congress_legislator:11584,Madeleine Dean,Democrat,4,PA,rep,4204
aclu/elections-api/congress_legislator:924,Scott Perry,Republican,10,PA,rep,4210
aclu/elections-api/congress_legislator:921,Robert A. Brady,Democrat,1,PA,rep,4201
aclu/elections-api/congress_legislator:11585,Mary Gay Scanlon,Democrat,5,PA,rep,4205
aclu/elections-api/congress_legislator:912,Dwight Evans,Democrat,3,PA,rep,4203
aclu/elections-api/congress_legislator:917,Matt Cartwright,Democrat,8,PA,rep,4208
aclu/elections-api/congress_legislator:925,Tom Marino,Republican,10,PA,rep,4210
aclu/elections-api/congress_legislator:910,Brendan F. Boyle,Democrat,2,PA,rep,4202
aclu/elections-api/congress_legislator:11582,Guy Reschenthaler,Republican,14,PA,rep,4214
